URL,kUse,kLoad,kReload,kRevalidate
https://pixel.adsafeprotected.com/jload?anId=92566...,0,1,0,0
https://cnn.bounceexchange.com/bounce/reloadCampai...,0,1,0,0
https://cdn.cnn.com/ads/cnni/singles/cnni_entitlem...,0,1,0,0
https://agility.cnn.com/turner/cnn-prod/serverComp...,0,1,0,0
https://platform.twitter.com/js/moment~timeline~tw...,0,1,0,0
https://platform.twitter.com/js/timeline.f2565d449...,0,1,0,0
https://odb.outbrain.com/utils/get?url=https%3A%2F...,0,1,0,0
https://cdn.syndication.twimg.com/timeline/profile...,0,1,0,0
https://cnn.bounceexchange.com/bounce/init1.js?toj...,0,1,0,0
https://analytics.twitter.com/i/adsct?p_id=Twitter...,0,1,0,0
https://cnn.sdk.beemray.com/content/websdk/39a34d8...,0,1,0,0
https://mms.cnn.com/aatdyxNengpcih8KXhyfShSK1BEOXR...,0,1,0,0
https://agility.cnn.com/turner/cnn-prod/serverComp...,0,1,0,0
https://odb.outbrain.com/utils/get?url=https%3A%2F...,0,1,0,0
https://cnn.bounceexchange.com/bounce/init1.js?toj...,0,1,0,0
https://cnn.sdk.beemray.com/content/websdk/39a34d8...,0,1,0,0
https://analytics.twitter.com/i/adsct?p_id=Twitter...,0,1,0,0
https://pixel.adsafeprotected.com/jload?anId=92566...,0,1,0,0
https://geo.moatads.com/n.js?e=35&ud=0&qn=%604%7BZ...,0,1,0,0
https://pixel.adsafeprotected.com/jload?anId=92566...,0,1,0,0
https://pixel.adsafeprotected.com/jload?anId=92566...,0,1,0,0
https://pixel.adsafeprotected.com/jload?anId=92566...,0,1,0,0
https://cnn.bounceexchange.com/bounce/reloadCampai...,0,1,0,0
https://mms.cnn.com/abbLn0xfCpVJCIxejAmMSJ6JzBaM1h...,0,1,0,0
https://cnn.bounceexchange.com/bounce/reloadCampai...,0,1,0,0
https://agility.cnn.com/turner/cnn-prod/serverComp...,0,1,0,0
https://odb.outbrain.com/utils/get?url=https%3A%2F...,0,1,0,0
https://cnn.bounceexchange.com/bounce/init1.js?toj...,0,1,0,0
https://cnn.sdk.beemray.com/content/websdk/39a34d8...,0,1,0,0
https://pixel.adsafeprotected.com/jload?anId=92566...,0,1,0,0
https://geo.moatads.com/n.js?e=35&ud=0&qn=%604%7BZ...,0,1,0,0
https://pixel.adsafeprotected.com/jload?anId=92566...,0,1,0,0
https://pixel.adsafeprotected.com/jload?anId=92566...,0,1,0,0
https://cnn.bounceexchange.com/bounce/reloadCampai...,0,1,0,0
https://cnn.bounceexchange.com/bounce/reloadCampai...,0,1,0,0
https://analytics.twitter.com/i/adsct?p_id=Twitter...,0,1,0,0
https://mms.cnn.com/aardHJ1S3h2J3Ameid2cHsmUClOQjd...,0,1,0,0
https://agility.cnn.com/turner/cnn-prod/serverComp...,0,1,0,0
https://cdn.cnn.com/ads/cnni/cnni_asia_australia_l...,0,1,0,0
https://odb.outbrain.com/utils/get?url=https%3A%2F...,0,1,0,0
https://cnn.bounceexchange.com/bounce/init1.js?toj...,0,1,0,0
https://cnn.sdk.beemray.com/content/websdk/39a34d8...,0,1,0,0
